,MRBID,delta_swe_hist,swe_hist_agree,delta_swe_fut,swe_fut_agree,delta_tmean_hist,tmean_hist_agree,delta_tmean_fut,tmean_fut_agree,delta_ppt_hist,ppt_hist_agree,delta_ppt_fut,ppt_fut_agree,delta_q_hist,q_hist_agree,delta_q_fut,q_fut_agree
0,2427,-43.835369551083346,0.13333333333333333,-87.47156023251705,0.13545751633986927,1.6160919269668335,1.0,2.912611914775347,1.0,17.18080857579489,0.8,1.7350826072688506,0.559322033898305,-2.462551184542264,0.4004980511043742,13.234813043883534,0.5307843137254902
1,6113,-5.844164098657231,0.35833333333333334,-50.945562192046026,0.1300653594771242,3.3970826886638807,1.0,,,21.963290166495874,1.0,,,-0.31929620159153416,0.4784538761368558,-4.3795735885180065,0.3488235294117647
2,6234,-35.86407932539881,0.16666666666666666,-81.74290615110436,0.12696078431372548,2.1367060605199084,1.0,,,15.259963406786804,1.0,,,-24.287129177473638,0.16522304027717627,4.408985190145984,0.5574509803921569
3,2423,-12.290349005271263,0.35,-81.19422635648841,0.14624183006535948,1.1426108482988109,0.75,3.0783005701176265,1.0,15.70670000967137,0.8,5.672351675747137,0.8220338983050848,-2.6820653847443694,0.3039194456474664,-7.011797815022263,0.26725490196078433
4,4426,7.695785183952934,0.8166666666666667,-57.60197186148344,0.04820261437908497,0.3477728015742486,0.75,,,2.2463608197264584,0.8,,,-3.75901919298209,0.19629709831095712,-5.7972927215001135,0.23549019607843139
5,2415,-23.618950103321325,0.16666666666666666,-69.49774997722885,0.13545751633986927,1.250473068745348,0.75,,,25.90351422407075,1.0,,,-3.7713884179155395,0.3160459073191858,10.894654973902007,0.7972549019607843
6,6103,3.634595112968992,0.725,-39.80336999644115,0.1238562091503268,3.545228053477742,1.0,,,19.849305346513116,1.0,,,0.5004621815855989,0.5220874837592031,50.892165516373296,0.9707843137254902
7,2404,-25.280950971813994,0.09166666666666666,-69.01612189816119,0.11470588235294117,1.408428350447586,1.0,,,12.102912348707989,0.8,,,-0.6650522652833526,0.428648765699437,-11.80043716703301,0.16372549019607843
8,4218,10.882085799564301,0.7,-25.188951853495137,0.3996732026143791,1.1890252533675347,1.0,,,4.14031332528703,0.6,,,-14.193311310674737,0.18698570809874404,25.133123988300127,0.9919607843137255
9,4420,-14.117690987721005,0.175,-86.37867610529703,0.028431372549019607,0.6744615392035727,1.0,,,-8.095742915867504,0.2,,,-12.398115184588324,0.22163274144651365,-0.11162974956518212,0.46705882352941175
10,6108,0.3173749024530334,0.5083333333333333,-48.38481128180123,0.14183006535947712,3.0059127593408657,1.0,,,9.93039805799045,0.8,,,-4.652168846417176,0.2836725855348636,31.880689160449435,0.7219607843137255
11,4119,0.8753090811624618,0.5166666666666667,18.715194771218826,0.7392156862745098,6.086597153319392,1.0,7.38098817530845,1.0,19.919110755239792,0.8,24.122828966149065,1.0,3.868906296029797,0.6369640537029017,10.922990629147208,0.7250980392156863
12,2429,-53.80753396042008,0.1,-70.00405070083411,0.14493464052287583,1.3883363175212957,1.0,2.8606573085030123,1.0,22.677182915559037,1.0,0.42390513147593367,0.5254237288135594,-4.095501165629038,0.32102641836292767,-13.177611231030518,0.38372549019607843
13,4222,3.8939419245440154,0.5916666666666667,-26.358499958417088,0.18823529411764706,1.4098247360631553,1.0,4.339047140476735,1.0,-9.701043736538514,0.4,15.868999600923061,1.0,-1.268178162937722,0.39789952360329145,14.318118138617493,0.9880392156862745
14,6218,7.907846588959007,0.6666666666666666,-48.11326732084868,0.08774509803921568,3.8824302380901745,1.0,,,22.543753864124888,1.0,,,4.794340955375881,0.6635989605889996,4.452301620635886,0.5411764705882353
15,6111,2.952760510388912,0.7166666666666667,-18.6348992860876,0.22598039215686275,2.7254257885048485,1.0,4.526610534621769,1.0,19.881246853121404,1.0,9.942065827511982,0.940677966101695,1.4319077974945158,0.6188826331745344,-27.17137627447883,0.0
16,6251,-9.44731578984095,0.30833333333333335,-76.44403019693817,0.1661764705882353,,0.0,,,,0.0,,,-12.323927894528152,0.20485058466868775,-9.303235079365521,0.11745098039215686
17,6219,8.810997329337354,0.9333333333333333,-29.172804285134,0.13104575163398693,2.475407886542507,1.0,,,22.59362377445013,1.0,,,0.2197979302583825,0.5213295799047206,-8.09364549526164,0.2966666666666667
18,6209,-10.01421203692055,0.06666666666666667,-40.98082352613094,0.06650326797385621,2.035969042188134,1.0,2.9756359322327453,1.0,15.29287482170827,1.0,11.373599395079019,0.9576271186440678,0.8737593825057677,0.5463404071026419,23.324133676881885,0.8054901960784314
19,4431,-11.08487789830483,0.058333333333333334,-34.325275607035415,0.2222222222222222,0.8228990633553597,1.0,3.2809539250192286,1.0,-1.4317170160294572,0.4,12.653127875764568,0.9830508474576272,-0.2037463572189721,0.47975313988739715,24.0245165212133,0.8772549019607843
20,4113,-13.998071414603853,0.39166666666666666,8.409111057184244,0.6241830065359477,3.4571315316972417,1.0,7.527694021367038,1.0,-3.1136237618464078,0.6,27.319402135774013,1.0,-2.1530010183880517,0.4577739281074058,46.80675238850601,0.957843137254902
